,first_purchase,last_purchase,tempo_purchase,day_ratio,evening_ratio,night_ratio,weekend_ratio,Electronics_ratio,Fashion_ratio,Home & Garden_ratio,Collectibles_ratio,Lifestyle_ratio,Parts & Accessories_ratio,Business & Industrial_ratio,Media_ratio,median_purchase_price_percentile,q1_purchase_price_percentile,q3_purchase_price_percentile,min_purchase_price_percentile,max_purchase_price_percentile,Age,gender,number_purchase,openness_group
53,0.794979881203,0.998911268372,0.560412723405,0.831325301205,0.114457831325,0.0722891566265,0.15306122449,0.219387755102,0.420485175202,0.168367346939,0.261904761905,0.163265306122,0.0478316326531,0.0204081632653,0.0,0.133333333333,0.263157894737,0.24,0.460526315789,0.789473684211,0.666666666667,0.0,0.371428571429,1.0
55,0.771603755509,0.994556341862,0.0727517375117,0.5,0.3,0.1,0.285714285714,0.25,0.377358490566,0.214285714286,0.0833333333333,0.285714285714,0.0,0.0,0.0,0.64,0.513157894737,0.866666666667,0.513157894737,0.460526315789,0.625,1.0,0.0514285714286,1.0
59,0.652040620809,0.924877517692,0.133901315001,0.775862068966,0.120689655172,0.137931034483,0.194444444444,0.416666666667,0.220125786164,0.305555555556,0.0324074074074,0.0,0.0868055555556,0.0,0.138888888889,0.08,0.0789473684211,0.106666666667,0.157894736842,0.407894736842,0.416666666667,0.0,0.135238095238,1.0
63,0.419812224564,0.960805661404,0.089102055345,0.677419354839,0.274193548387,0.0967741935484,0.253012048193,0.469879518072,0.190952489202,0.168674698795,0.168674698795,0.120481927711,0.0753012048193,0.0963855421687,0.0,0.573333333333,0.618421052632,0.573333333333,0.671052631579,0.710526315789,0.833333333333,1.0,0.15619047619,1.0
64,0.660854569841,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.826666666667,0.907894736842,0.586666666667,0.973684210526,0.0657894736842,0.25,1.0,0.0,1.0
73,0.664878329182,0.94447468699,0.0511211627794,0.277777777778,0.333333333333,0.333333333333,0.333333333333,0.703703703704,0.117400419287,0.0,0.0,0.0,0.0,0.740740740741,0.0,0.106666666667,0.131578947368,0.293333333333,0.513157894737,0.197368421053,0.208333333333,1.0,0.0495238095238,1.0
75,0.590726192757,0.835601524224,0.034142526547,0.333333333333,0.444444444444,0.444444444444,0.55,0.15,0.528301886792,0.0,0.233333333333,0.4,0.15625,0.0,0.0,0.946666666667,0.973684210526,0.986666666667,0.907894736842,0.763157894737,0.25,1.0,0.0361904761905,1.0
77,0.528070511592,0.99292324442,0.0618879074763,0.48275862069,0.310344827586,0.275862068966,0.395833333333,0.479166666667,0.264150943396,0.229166666667,0.0486111111111,0.0416666666667,0.0,0.0,0.0,0.466666666667,0.552631578947,0.413333333333,0.131578947368,0.618421052632,0.166666666667,0.0,0.0895238095238,1.0
81,0.776202337613,0.98856831791,0.0721760074166,0.611111111111,0.111111111111,0.555555555556,0.333333333333,0.703703703704,0.0,0.296296296296,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.434210526316,0.12,0.776315789474,0.157894736842,0.416666666667,1.0,0.0495238095238,1.0
96,0.953056141023,0.974959172564,0.280604076732,0.666666666667,0.333333333333,0.0,0.869565217391,0.0869565217391,0.505332239541,0.347826086957,0.101449275362,0.0,0.0,0.173913043478,0.0,0.0666666666667,0.0657894736842,0.133333333333,0.157894736842,0.223684210526,0.0416666666667,0.0,0.0419047619048,1.0
97,0.705690745354,0.931409907458,0.0527325196743,0.6,0.133333333333,0.4,0.375,0.708333333333,0.176100628931,0.0,0.0,0.166666666667,0.130208333333,0.0,0.0,0.693333333333,0.75,0.826666666667,0.855263157895,0.565789473684,0.208333333333,1.0,0.0438095238095,1.0
101,0.683464265185,0.991834512793,0.180926337493,0.547945205479,0.287671232877,0.27397260274,0.231578947368,0.463157894737,0.355908639523,0.0421052631579,0.147368421053,0.147368421053,0.0328947368421,0.0421052631579,0.0,0.04,0.0526315789474,0.0266666666667,0.289473684211,0.131578947368,0.0,1.0,0.179047619048,1.0
106,0.905154244108,0.990745781165,0.113137056546,0.692307692308,0.230769230769,0.153846153846,0.315789473684,0.0,0.111221449851,0.473684210526,0.368421052632,0.210526315789,0.0,0.631578947368,0.0,0.733333333333,0.723684210526,0.813333333333,0.736842105263,0.486842105263,0.291666666667,1.0,0.0342857142857,1.0
107,0.599348534202,0.811105062602,0.0555508898934,0.392857142857,0.25,0.214285714286,0.0967741935484,0.612903225806,0.170419963481,0.129032258065,0.0,0.129032258065,0.0,0.129032258065,0.0,0.8,0.710526315789,0.773333333333,0.513157894737,0.631578947368,0.291666666667,1.0,0.0571428571429,1.0
108,0.827936386281,0.968971148612,0.042888728832,1.0,0.0,0.0,0.916666666667,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.866666666667,0.894736842105,0.84,0.842105263158,0.302631578947,0.208333333333,1.0,0.0209523809524,1.0
114,0.750910136041,0.92324442025,0.089998697424,0.727272727273,0.0909090909091,0.272727272727,0.352941176471,0.147058823529,0.403995560488,0.294117647059,0.137254901961,0.0588235294118,0.0,0.235294117647,0.147058823529,0.0266666666667,0.0394736842105,0.0,0.407894736842,0.0131578947368,0.208333333333,0.0,0.0628571428571,1.0
137,0.663920291244,0.842678279804,0.0127098452283,0.0,0.0,1.0,0.333333333333,0.0,0.528301886792,0.0,0.0,1.0,0.0,0.0,0.0,0.973333333333,0.947368421053,0.933333333333,0.986842105263,0.671052631579,0.208333333333,1.0,0.00952380952381,1.0
138,0.561601839433,0.658682634731,0.0356826943388,0.4,0.133333333333,0.933333333333,0.210526315789,0.578947368421,0.333664349553,0.0,0.0,0.210526315789,0.0,0.0,0.0,1.0,0.855263157895,1.0,0.75,0.960526315789,0.25,1.0,0.0342857142857,1.0
